timeOpen,timeClose,timeHigh,timeLow,open,high,low,close,volume,marketCap,timestamp
2023-11-12T00:00:00.000Z,2023-11-12T23:59:59.999Z,2023-11-12T15:46:00.000Z,2023-11-12T00:50:00.000Z,37133.99088,37227.69256,36779.11653,37054.52014,11545715999,7.24074E+11,2023-11-12T23:59:59.999Z
2023-11-11T00:00:00.000Z,2023-11-11T23:59:59.999Z,2023-11-11T00:30:00.000Z,2023-11-11T22:15:00.000Z,37310.07076,37407.09328,36773.66646,37138.05054,13924272142,7.25668E+11,2023-11-11T23:59:59.999Z
2023-11-10T00:00:00.000Z,2023-11-10T23:59:59.999Z,2023-11-10T23:17:00.000Z,2023-11-10T08:19:00.000Z,36702.25186,37493.8013,36362.75523,37313.96969,22711265155,7.29069E+11,2023-11-10T23:59:59.999Z
2023-11-09T00:00:00.000Z,2023-11-09T23:59:59.999Z,2023-11-09T14:54:00.000Z,2023-11-09T00:07:00.000Z,35633.63439,37926.2568,35592.10325,36693.12363,37762672382,7.16902E+11,2023-11-09T23:59:59.999Z
2023-11-08T00:00:00.000Z,2023-11-08T23:59:59.999Z,2023-11-08T23:46:00.000Z,2023-11-08T15:26:00.000Z,35419.47672,35994.41653,35147.80081,35655.27608,17295394918,6.96595E+11,2023-11-08T23:59:59.999Z
2023-11-07T00:00:00.000Z,2023-11-07T23:59:59.999Z,2023-11-07T20:58:00.000Z,2023-11-07T12:13:00.000Z,35047.79363,35892.41637,34545.8151,35443.56136,18834737789,6.92426E+11,2023-11-07T23:59:59.999Z
2023-11-06T00:00:00.000Z,2023-11-06T23:59:59.999Z,2023-11-06T10:40:00.000Z,2023-11-06T05:31:00.000Z,35044.78992,35286.02683,34765.36485,35037.36944,12693436420,6.8446E+11,2023-11-06T23:59:59.999Z
2023-11-05T00:00:00.000Z,2023-11-05T23:59:59.999Z,2023-11-05T23:05:00.000Z,2023-11-05T21:53:00.000Z,35090.01302,35340.33972,34594.24258,35049.35592,12412743996,6.84668E+11,2023-11-05T23:59:59.999Z
2023-11-04T00:00:00.000Z,2023-11-04T23:59:59.999Z,2023-11-04T23:09:00.000Z,2023-11-04T05:11:00.000Z,34736.32341,35256.03275,34616.69334,35082.19722,9561294264,6.85272E+11,2023-11-04T23:59:59.999Z
2023-11-03T00:00:00.000Z,2023-11-03T23:59:59.999Z,2023-11-03T00:00:00.000Z,2023-11-03T10:20:00.000Z,34942.47432,34942.47432,34133.43962,34732.32558,17158456701,6.78402E+11,2023-11-03T23:59:59.999Z
